,parent,daughter,loss,count
409,91.04,67.06,23.980000000000004,3
410,91.04,69.03,22.010000000000005,1
411,91.04,69.07,21.970000000000013,8
412,91.04,71.09,19.950000000000003,6
413,91.04,73.03,18.010000000000005,1
414,91.04,79.05,11.990000000000009,6
415,91.04,79.06,11.980000000000004,2
416,91.04,81.07,9.970000000000013,15
417,91.04,83.09,7.950000000000003,9
418,91.04,85.03,6.010000000000005,14
419,91.04,85.1,5.940000000000012,4
420,91.05,55.02,36.029999999999994,2
421,91.05,55.05,36.0,12
422,91.05,55.06,35.989999999999995,15
423,91.05,55.07,35.98,1
424,91.05,55.93,35.12,2
425,91.05,56.67,34.379999999999995,1
426,91.05,56.96,34.089999999999996,1
427,91.05,57.03,34.019999999999996,9
428,91.05,57.07,33.98,3
429,91.05,58.07,32.98,1
430,91.05,59.05,32.0,1
431,91.05,61.03,30.019999999999996,1
432,91.05,67.05,24.0,37
433,91.05,67.06,23.989999999999995,30
434,91.05,67.2,23.849999999999994,1
435,91.05,68.27,22.78,1
436,91.05,69.03,22.019999999999996,8
437,91.05,69.07,21.980000000000004,64
438,91.05,70.29,20.75999999999999,1
439,91.05,70.51,20.539999999999992,1
440,91.05,71.05,20.0,8
441,91.05,71.09,19.959999999999994,3
442,91.05,73.03,18.019999999999996,3
443,91.05,74.32,16.730000000000004,1
444,91.05,79.05,12.0,53
445,91.05,79.06,11.989999999999995,17
446,91.05,80.06,10.989999999999995,1
447,91.05,81.03,10.019999999999996,7
448,91.05,81.07,9.980000000000004,77
449,91.05,82.06,8.989999999999995,7
450,91.05,82.07,8.980000000000004,1
451,91.05,82.36,8.689999999999998,1
452,91.05,83.05,8.0,10
453,91.05,83.09,7.959999999999994,36
454,91.05,85.03,6.019999999999996,10
455,91.05,85.06,5.989999999999995,2
456,91.05,85.07,5.980000000000004,1
457,91.05,85.1,5.950000000000003,1
458,91.05,86.1,4.950000000000003,1
459,91.05,87.04,4.009999999999991,1
460,91.05,89.06,1.9899999999999949,7
461,91.05,89.81,1.2399999999999949,1
462,91.06,55.06,36.0,1
463,91.06,57.07,33.99,1
464,91.06,67.06,24.0,2
465,91.06,69.07,21.99000000000001,3
466,91.06,71.09,19.97,1
467,91.06,79.05,12.010000000000005,1
